PA Code,NSC Code,NCES Code,AUN Code,ULCS Code,SRC School ID,School Name (ULCS),Publication Name,Abbreviated Name,Year Opened,School Level,Admission Type,Current Grade Span Served,Grade Span at Scale,Phasing-In ,Phasing-Out,Governance,Management Organization,School Reporting Category,Alternate Education Type,Major Intervention,Major Intervention Year,Community School,CTE Status,Title I Designation,Federal Accountability Designation,City Council District,Multiple Addresses,Street Address,City,State,Zip Code,Phone Number,Fax Number,Website,School Leader Name,Learning Network,Assistant Superintendent,Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,lon,lat,attendance,el_cat,hi_cat
3847,393345,4.21899E+11,126515001,1010,101,"BARTRAM, JOHN HIGH SCHOOL",John Bartram High School,Bartram,1939,HIGH,NEIGHBORHOOD,'09-12',N/A,0,0,DISTRICT,N/A,SDP K12 SCHOOLS,N/A,N/A,N/A,N/A,PROGRAMS,1,PRIORITY,2,N/A,2401 S. 67TH ST.,PHILADELPHIA,PA,19142,215-492-6450,215-492-6117,http://www.bartramhigh.net,DAMOND WARREN,NEIGHBORHOOD NETWORK 1,DEB CARRERA,0,0,0,0,0,0,0,0,0,1,1,1,1,-75.2337074,39.9219861,702,FALSE,TRUE
3860,393555,4.21899E+11,126515001,1020,102,WEST PHILADELPHIA HIGH SCHOOL,West Philadelphia High School,West Philadelphia,1911,HIGH,NEIGHBORHOOD,'09-12',N/A,0,0,DISTRICT,N/A,SDP K12 SCHOOLS,N/A,TURNAROUND,2011-2012,N/A,PROGRAMS,1,PRIORITY,3,N/A,4901 CHESTNUT ST.,PHILADELPHIA,PA,19139,215-471-2902,215-471-6402,www.philasd.org/schools/westphila,MARY DEAN,TURNAROUND NETWORK,ERIC BECOATS,0,0,0,0,0,0,0,0,0,1,1,1,1,-75.2194876,39.9580893,530,FALSE,TRUE
7903,392779,4.21899E+11,126515001,1030,103,HIGH SCHOOL OF THE FUTURE,High School of the Future,HS of Future,2006,HIGH,CITYWIDE,'09-12',N/A,0,0,DISTRICT,N/A,SDP K12 SCHOOLS,N/A,N/A,N/A,N/A,N/A,1,NO DESIGNATION,4,N/A,4021 PARKSIDE AVE.,PHILADELPHIA,PA,19104,215-823-5500,215-823-5504,www.philasd.org/schools/hsof,RICHARD SHERIN,NEIGHBORHOOD NETWORK 2,RAHSHENE DAVIS-BOWIE,0,0,0,0,0,0,0,0,0,1,1,1,1,-75.2031975,39.9753336,516,FALSE,TRUE
7780,393347,4.21899E+11,126515001,1050,105,"ROBESON, PAUL HIGH SCHOOL",Paul Robeson High School for Human Services,Robeson,2003,HIGH,CITYWIDE,'09-12',N/A,0,0,DISTRICT,N/A,SDP K12 SCHOOLS,N/A,N/A,N/A,N/A,PROGRAMS,1,FOCUS,3,N/A,4125 LUDLOW ST.,PHILADELPHIA,PA,19104,215-823-8207,215-823-8252,www.philasd.org/schools/robeson,RICHARD GORDON,NEIGHBORHOOD NETWORK 2,RAHSHENE DAVIS-BOWIE,0,0,0,0,0,0,0,0,0,1,1,1,1,-75.2060131,39.9570012,290,FALSE,TRUE
7245,393944,4.21899E+11,126515001,1100,110,"SAYRE, WILLIAM L. HIGH SCHOOL",William L. Sayre High School,Sayre,1950,HIGH,NEIGHBORHOOD,'09-12',N/A,0,0,DISTRICT,N/A,SDP K12 SCHOOLS,N/A,N/A,N/A,N/A,N/A,1,PRIORITY,3,N/A,5800 WALNUT ST.,PHILADELPHIA,PA,19139,215-471-2904,215-471-3486,www.philasd.org/schools/sayre,JAMIE EBERLE,NEIGHBORHOOD NETWORK 2,RAHSHENE DAVIS-BOWIE,0,0,0,0,0,0,0,0,0,1,1,1,1,-75.2387906,39.9574001,506,FALSE,TRUE
8297,N/A,4.21899E+11,126515001,1130,113,TILDEN MIDDLE SCHOOL,William T. Tilden School,Tilden,1927,MIDDLE,NEIGHBORHOOD,'05-08',N/A,0,0,DISTRICT,N/A,SDP K12 SCHOOLS,N/A,SCHOOL REDESIGN INITIATIVE,2015-2016,2016-2017,N/A,1,PRIORITY,2,N/A,6601 ELMWOOD AVE.,PHILADELPHIA,PA,19142,215-492-6454,215-492-6128,www.philasd.org/schools/tilden,BRIAN JOHNSON,NEIGHBORHOOD NETWORK 1,DEB CARRERA,0,0,0,0,0,1,1,1,1,0,0,0,0,-75.232455,39.9215039,462,TRUE,FALSE
7815,393246,4.21899E+11,126515001,1190,119,MOTIVATION HIGH SCHOOL,Motivation High School,Motivation,2004,HIGH,SPECIAL ADMIT,'09-12',N/A,0,0,DISTRICT,N/A,SDP K12 SCHOOLS,N/A,N/A,N/A,N/A,N/A,1,NO DESIGNATION,3,N/A,5900 BALTIMORE AVE.,PHILADELPHIA,PA,19143,215-471-2906,215-471-8172,www.philasd.org/schools/motivation,RENNU TELI,AUTONOMY NETWORK,JURATE KROKYS,0,0,0,0,0,0,0,0,0,1,1,1,1,-75.2421876,39.9443788,339,FALSE,TRUE
8029,N/A,4.21899E+11,126515001,1200,120,"BARRY, JOHN ELEMENTARY SCHOOL",John Barry School,Barry,2007,ELEMENTARYMIDDLE,NEIGHBORHOOD,'00-08',N/A,0,0,DISTRICT,N/A,SDP K12 SCHOOLS,N/A,TURNAROUND,2013-2014,N/A,N/A,1,PRIORITY,4,N/A,5900 RACE ST.,PHILADELPHIA,PA,19139,215-471-2744,215-471-6320,www.philasd.org/schools/barry,DERRICK HARDY,TURNAROUND NETWORK,ERIC BECOATS,1,1,1,1,1,1,1,1,1,0,0,0,0,-75.238604,39.9643749,774,TRUE,FALSE
3601,N/A,4.21899E+11,126515001,1230,123,"BRYANT, WILLIAM C. SCHOOL",William C. Bryant School,Bryant,1903,ELEMENTARYMIDDLE,NEIGHBORHOOD,'00-08',N/A,0,0,DISTRICT,N/A,SDP K12 SCHOOLS,N/A,TURNAROUND,2013-2014,N/A,N/A,1,PRIORITY,3,N/A,6001 CEDAR AVE.,PHILADELPHIA,PA,19143,215-471-2910,215-471-8379,www.philasd.org/schools/bryant,PAULETTE GADDY,TURNAROUND NETWORK,ERIC BECOATS,1,1,1,1,1,1,1,1,1,0,0,0,0,-75.2438953,39.9530359,543,TRUE,FALSE
3602,N/A,4.21899E+11,126515001,1250,125,"CATHARINE, JOSEPH SCHOOL",Joseph W. Catharine School,Catharine,1937,ELEMENTARY,NEIGHBORHOOD,'00-05',N/A,0,0,DISTRICT,N/A,SDP K12 SCHOOLS,N/A,N/A,N/A,N/A,N/A,1,NO DESIGNATION,2,N/A,6600 CHESTER AVE.,PHILADELPHIA,PA,19142,215-727-2155,215-727-5671,www.philasd.org/schools/catharine,LISA WILMER,NEIGHBORHOOD NETWORK 1,DEB CARRERA,1,1,1,1,1,1,0,0,0,0,0,0,0,-75.2395017,39.9280146,639,TRUE,FALSE
