"dataset","school_effect","crimetype","value_coef","sd_school_effect"
"Target","All Schools","All Crimes","0.177836995049981","0.0195512629926028"
"Target","High Schools","All Crimes","0.170346009194436","0.0305342787683266"
"Target","Mid Schools","All Crimes","0.12083498703978","0.025293877959963"
"Target","Elementary Schools","All Crimes","0.127567448673704","0.0371944123946935"
"Target","All Schools","Violent Crimes","0.291415265831825","0.0192021747937818"
"Target","High Schools","Violent Crimes","0.310291773043088","0.0300457314607097"
"Target","Mid Schools","Violent Crimes","0.196098846359245","0.0249131021582254"
"Target","Elementary Schools","Violent Crimes","0.166990278482493","0.0366637330434315"
"Target","All Schools","Drug Crimes","0.116964274383022","0.0208982541805751"
"Target","High Schools","Drug Crimes","0.144645728010347","0.0326034696768314"
"Target","Mid Schools","Drug Crimes","0.0147610164810027","0.0270158922093284"
"Target","Elementary Schools","Drug Crimes","0.175415775561154","0.0396947217484963"
"Target","All Schools","Property Crimes","0.0971281647429146","0.0179235734816288"
"Target","High Schools","Property Crimes","0.134194437445257","0.0279587181068446"
"Target","Mid Schools","Property Crimes","0.0529242064464828","0.0231661929377844"
"Target","Elementary Schools","Property Crimes","0.0369136420758628","0.0340593396248249"
"Mirror","All Schools","All Crimes","0.120472078522375","0.0207411977685457"
"Mirror","High Schools","All Crimes","0.0627629049607828","0.0323741820523383"
"Mirror","Mid Schools","All Crimes","0.0942342682347573","0.0268059964841746"
"Mirror","Elementary Schools","All Crimes","0.137690142024489","0.0394065694135947"
"Mirror","All Schools","Violent Crimes","0.121825257330896","0.018936364035676"
"Mirror","High Schools","Violent Crimes","0.0700300721949","0.0295616192478752"
"Mirror","Mid Schools","Violent Crimes","0.0993446967837808","0.0244757112094235"
"Mirror","Elementary Schools","Violent Crimes","0.120753024561694","0.0359857306993193"
"Mirror","All Schools","Drug Crimes","0.078807797068889","0.0219619061418991"
"Mirror","High Schools","Drug Crimes","0.0282344968566574","0.0342633937112462"
"Mirror","Mid Schools","Drug Crimes","0.0277058054093124","0.028376539615287"
"Mirror","Elementary Schools","Drug Crimes","0.1824209086575","0.0416950867761864"
"Mirror","All Schools","Property Crimes","0.0646343379628829","0.0182419418409219"
"Mirror","High Schools","Property Crimes","0.0570562046508664","0.0284570056460348"
"Mirror","Mid Schools","Property Crimes","0.042326199207995","0.0235684258155199"
"Mirror","Elementary Schools","Property Crimes","0.0569994881000668","0.0346474681479216"
